Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.248,0.571,0.181,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",6,@CBS
0.0,Thu Sep 13 20:52:06 +0000 2018,0.0,1.0,0.0,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,7,@CBS
0.0,Thu Sep 13 20:28:06 +0000 2018,0.0,1.0,0.0,This just in... https://t.co/QG3OYF6Rfv,8,@CBS
0.4753,Thu Sep 13 18:06:49 +0000 2018,0.083,0.699,0.218,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,9,@CBS
0.0,Mon Sep 10 17:06:16 +0000 2018,0.0,1.0,0.0,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",10,@CBS
-0.2263,Sun Sep 09 23:36:09 +0000 2018,0.083,0.917,0.0,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",11,@CBS
0.6705,Sun Sep 09 14:00:00 +0000 2018,0.0,0.718,0.282,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,12,@CBS
0.4215,Sat Sep 08 16:20:43 +0000 2018,0.0,0.851,0.149,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,13,@CBS
0.0,Sat Sep 08 00:00:00 +0000 2018,0.0,1.0,0.0,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,14,@CBS
-0.5411,Fri Sep 07 23:15:09 +0000 2018,0.196,0.712,0.092,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",15,@CBS
0.0,Fri Sep 07 21:50:51 +0000 2018,0.0,1.0,0.0,Tune in to a first-of-its-kind digital live show as lead up to @SU2C’s televised event tonight! The show will featu… https://t.co/hIVaLAXYmR,16,@CBS
-0.296,Thu Sep 06 22:10:49 +0000 2018,0.121,0.879,0.0,Hollywood legend Burt Reynolds has passed away at the age of 82. He will be missed. https://t.co/HSmcJ9X9iC,17,@CBS
0.4753,Thu Sep 06 19:00:01 +0000 2018,0.0,0.808,0.192,Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,18,@CBS
0.0,Wed Sep 05 21:00:00 +0000 2018,0.0,1.0,0.0,Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,19,@CBS
0.3612,Wed Sep 05 17:32:40 +0000 2018,0.0,0.889,0.111,Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season beg… https://t.co/8TcA200eFQ,20,@CBS
0.6908,Wed Sep 05 16:48:09 +0000 2018,0.0,0.467,0.533,"Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",21,@CBS
0.4215,Tue Sep 04 20:34:26 +0000 2018,0.0,0.865,0.135,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,22,@CBS
0.6514,Sat Sep 01 15:25:34 +0000 2018,0.0,0.829,0.171,RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,23,@CBS
0.0,Fri Aug 31 21:26:49 +0000 2018,0.0,1.0,0.0,"In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundrais… https://t.co/iHKGOoWejA",24,@CBS
0.0,Fri Aug 31 18:01:01 +0000 2018,0.0,1.0,0.0,"Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before i… https://t.co/5AIUH5VmMk",25,@CBS
-0.6908,Thu Aug 30 19:45:51 +0000 2018,0.239,0.761,0.0,"RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",26,@CBS
0.6239,Thu Aug 30 15:32:47 +0000 2018,0.0,0.83,0.17,RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,27,@CBS
0.0,Mon Aug 27 23:36:57 +0000 2018,0.0,1.0,0.0,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",28,@CBS
-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.121,0.879,0.0,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,29,@CBS
0.0,Wed Aug 22 20:55:25 +0000 2018,0.0,1.0,0.0,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",30,@CBS
